Gender,Age,Annual_Income,Education_Level,Marital_Status,Employment_Type,Years_in_Current_Job,Credit_Score,Existing_Loan_Balance,Loan_Amount_Requested,Credit_Card_Inquiries,Payment_of_Previous_Dues,Approved
Male,45,195050,High School,Single,Salaried,1.0,638.0,291735,281373,2,Paid on Time,0
Male,29,15833,Graduate,Married,Unemployed,0.0,761.0,10625,22314,1,Paid on Time,1
Female,19,325331,Undergraduate,Married,Self-Employed,0.0,850.0,130701,866150,2,Paid on Time,1
Male,60,29579,Undergraduate,Married,Unemployed,0.0,611.0,18060,33506,0,Delayed,0
Male,31,751206,Undergraduate,Married,Salaried,7.0,702.0,314845,1231520,1,Paid on Time,1
Male,39,294555,Graduate,Married,Salaried,9.0,649.0,155566,136977,4,Paid on Time,1
Female,48,200005,Undergraduate,Married,Self-Employed,9.0,560.0,37763,36493,0,Paid on Time,1
Male,40,28025,Undergraduate,Single,Student,0.0,768.0,35,106806,0,Paid on Time,1
Male,65,686177,Graduate,Married,Salaried,3.0,689.0,506012,627792,2,Paid on Time,1
Female,37,511876,Postgraduate,Married,Salaried,15.0,,375570,1481371,1,Paid on Time,1
Female,55,522438,Graduate,Divorced,Salaried,2.0,739.0,123004,1007533,0,Paid on Time,1
Female,21,49155,Graduate,Single,Student,,740.0,61395,49622,5,Delayed,0
Male,32,644992,Graduate,Married,Self-Employed,9.0,633.0,185569,963345,2,Delayed,0
Male,41,283414,Graduate,Married,Salaried,15.0,755.0,327423,1097618,3,Paid on Time,1
Female,42,322255,Graduate,Single,Salaried,3.0,633.0,91973,420217,0,Delayed,0
Female,18,251553,High School,Married,Salaried,0.0,529.0,106128,347792,2,Delayed,0
Female,24,422950,Undergraduate,Married,Salaried,3.0,699.0,171222,382793,1,Paid on Time,1
Female,48,1778895,Undergraduate,Single,Self-Employed,14.0,785.0,612621,2729490,2,Paid on Time,1
Male,29,359759,Graduate,Married,Salaried,5.0,583.0,514045,208808,0,Paid on Time,1
Female,59,281401,Undergraduate,Single,Self-Employed,13.0,491.0,14827,395991,3,Paid on Time,1
Male,22,59327,Postgraduate,Married,Student,0.0,662.0,43157,85573,4,Paid on Time,0
Male,61,122341,Undergraduate,Single,Salaried,10.0,545.0,134912,87679,3,Paid on Time,1
Male,67,710749,Postgraduate,Single,Salaried,10.0,593.0,340235,675159,1,Delayed,0
Male,59,447615,High School,Married,Self-Employed,26.0,659.0,7856,549392,1,Paid on Time,1
Male,55,573198,High School,Divorced,Salaried,12.0,353.0,87319,621066,2,Paid on Time,1
Male,29,33204,Undergraduate,Divorced,Student,0.0,604.0,14146,43747,1,Delayed,0
Female,56,650564,Graduate,Married,Salaried,3.0,611.0,852091,619392,0,Paid on Time,1
Male,35,400786,Undergraduate,Divorced,Self-Employed,12.0,834.0,295271,950535,2,Paid on Time,1
Female,19,405696,Undergraduate,Married,Salaried,0.0,634.0,379980,254003,1,Paid on Time,1
Male,27,297652,Postgraduate,Divorced,Salaried,4.0,850.0,424582,114829,1,Paid on Time,1
Male,32,658786,Postgraduate,Married,Salaried,5.0,773.0,859676,208581,0,Paid on Time,1
Male,47,27880,Postgraduate,Married,Unemployed,0.0,694.0,33148,10000,1,Delayed,0
Male,61,15000,Postgraduate,Married,Unemployed,0.0,685.0,11941,10000,0,Paid on Time,1
Male,34,493219,Graduate,Married,Salaried,3.0,682.0,125245,418842,1,Paid on Time,1
Male,21,321214,Graduate,Married,Salaried,0.0,663.0,405233,213609,1,Delayed,0
Male,24,615795,Graduate,Divorced,Salaried,3.0,501.0,86778,84231,4,Paid on Time,1
Female,58,312984,High School,Divorced,Salaried,19.0,684.0,416640,40891,1,Paid on Time,1
Male,48,936839,Postgraduate,Married,Self-Employed,6.0,659.0,1076788,779657,1,Paid on Time,1
Female,68,325561,Undergraduate,Married,Salaried,18.0,671.0,392360,282833,1,Delayed,0
Male,56,603355,Postgraduate,Single,Self-Employed,30.0,824.0,341375,148071,2,Paid on Time,1
Female,51,293719,Postgraduate,Married,Self-Employed,8.0,629.0,37432,304875,1,Paid on Time,1
Female,23,457927,High School,Married,Salaried,1.0,543.0,499338,126486,1,Delayed,0
Female,67,956314,Postgraduate,Single,Self-Employed,,593.0,1403008,757710,0,Delayed,0
Male,55,261034,Undergraduate,Married,Salaried,14.0,733.0,336110,187780,2,Paid on Time,1
Male,62,393697,Undergraduate,Married,Salaried,27.0,678.0,496878,60899,2,Delayed,0
Male,68,251529,Graduate,Single,Self-Employed,11.0,654.0,238565,99935,2,Delayed,0
Female,51,653588,Undergraduate,Single,Salaried,11.0,512.0,113986,490062,3,Delayed,0
Female,61,474913,Undergraduate,Married,Salaried,13.0,769.0,614971,1425330,4,Paid on Time,1
Female,32,52970,Graduate,Divorced,Student,0.0,588.0,17642,24990,1,Paid on Time,1
Male,31,429147,Postgraduate,Single,Self-Employed,0.0,686.0,170261,454505,1,Paid on Time,1
Female,23,753097,Undergraduate,Married,Salaried,0.0,639.0,853851,984878,1,Paid on Time,1
Female,67,319039,High School,Married,Self-Employed,5.0,491.0,45744,152401,3,Paid on Time,1
Male,54,303918,Graduate,Married,Salaried,11.0,687.0,33079,252591,3,Delayed,1
Male,67,15000,Undergraduate,Married,Unemployed,0.0,530.0,5669,10098,3,Delayed,0
Female,49,1107113,Undergraduate,Married,Salaried,18.0,683.0,1357905,153283,2,Paid on Time,1
Female,20,1136163,Graduate,Married,Self-Employed,0.0,597.0,1618321,736941,1,Delayed,0
Female,20,1187704,Undergraduate,Married,Self-Employed,0.0,630.0,474448,745973,2,Paid on Time,1
Male,39,175000,Graduate,Single,Salaried,13.0,720.0,199670,441944,0,Paid on Time,1
Female,39,218416,Graduate,Single,Self-Employed,2.0,523.0,165658,286781,2,Delayed,0
Male,27,24107,Graduate,Single,Student,0.0,850.0,13743,65577,3,Paid on Time,1
Male,68,648254,Graduate,Single,Self-Employed,22.0,565.0,873312,387355,1,Delayed,0
Male,20,903785,Postgraduate,Divorced,Salaried,,719.0,743187,1672540,0,Paid on Time,1
Female,29,802464,Graduate,Single,Salaried,2.0,740.0,832669,2856707,4,Paid on Time,1
Female,46,20960,Undergraduate,Married,Student,0.0,802.0,18626,54330,0,Paid on Time,1
Male,65,534475,Postgraduate,Married,Salaried,17.0,583.0,515966,345152,3,Paid on Time,1
Male,34,991125,Undergraduate,Single,Self-Employed,9.0,575.0,769037,931885,2,Paid on Time,1
Female,24,357933,High School,Married,Salaried,3.0,759.0,286404,935241,3,Paid on Time,1
Male,30,570744,Postgraduate,Married,Salaried,2.0,704.0,729556,1130571,2,Delayed,0
Female,19,810668,Postgraduate,Single,Salaried,0.0,706.0,368033,2817059,2,Paid on Time,1
Male,21,29782,Graduate,Single,Unemployed,0.0,789.0,32896,97375,1,Paid on Time,0
Male,27,5000000,Postgraduate,Single,Self-Employed,4.0,659.0,2000000,3000000,2,Paid on Time,1
Male,56,711630,Postgraduate,Married,Salaried,11.0,668.0,75500,1025953,1,Paid on Time,1
Male,41,57058,Graduate,Married,Student,0.0,782.0,77305,217821,2,Paid on Time,1
Female,34,526335,Graduate,Divorced,Salaried,1.0,667.0,324218,764495,0,Paid on Time,1
Male,69,1924832,Graduate,Married,Self-Employed,3.0,548.0,1972526,786697,1,Delayed,0
Male,23,423755,Postgraduate,Married,Salaried,2.0,560.0,481737,103702,2,Delayed,0
Female,36,35881,Undergraduate,Married,Student,0.0,623.0,42896,34687,1,Paid on Time,1
Male,22,417318,Postgraduate,Single,Salaried,0.0,685.0,141672,466810,1,Paid on Time,1
Male,49,1027072,Graduate,Single,Self-Employed,3.0,745.0,1010135,1332408,2,Paid on Time,1
Female,27,140456,Postgraduate,Divorced,Salaried,1.0,850.0,160171,308574,2,Paid on Time,1
Female,26,424124,Graduate,Married,Salaried,1.0,625.0,76206,427095,2,Delayed,0
Male,44,290532,Graduate,Married,Salaried,3.0,509.0,61580,217523,2,Delayed,0
Female,30,29033,Undergraduate,Married,Student,0.0,490.0,2113,24906,1,Paid on Time,1
Female,36,755981,Graduate,Single,Salaried,1.0,628.0,342085,155181,1,Paid on Time,1
Male,38,1894973,Graduate,Married,Self-Employed,18.0,649.0,2000000,2826809,3,Paid on Time,1
Male,41,605736,Graduate,Married,Salaried,3.0,711.0,583958,955146,2,Paid on Time,1
Female,55,307189,Undergraduate,Single,Salaried,15.0,850.0,229458,276595,1,Paid on Time,1
Female,21,107833,High School,Married,Salaried,0.0,711.0,17211,212653,2,Paid on Time,1
Male,41,572251,Postgraduate,Single,Self-Employed,10.0,658.0,96625,311561,0,Paid on Time,1
Female,52,627066,Undergraduate,Divorced,Self-Employed,,750.0,486304,1020200,2,Paid on Time,1
Female,20,15000,Graduate,Married,Unemployed,0.0,491.0,2648,13320,2,Delayed,0
Male,21,39525,Undergraduate,Married,Student,0.0,674.0,45952,19359,3,Paid on Time,1
Male,54,456658,Postgraduate,Married,Salaried,10.0,487.0,80515,471761,1,Delayed,0
Male,57,1241805,Graduate,Married,Self-Employed,27.0,790.0,1052703,2215082,0,Paid on Time,1
Female,65,1652667,Graduate,Married,Salaried,3.0,514.0,548792,359957,0,Delayed,1
Male,52,24176,Graduate,Single,Student,0.0,749.0,1153,86042,1,Paid on Time,1
Female,48,756594,Postgraduate,Married,Salaried,23.0,731.0,1067108,1484291,2,Paid on Time,1
Female,61,449807,Graduate,Divorced,Self-Employed,1.0,797.0,320641,1664031,0,Paid on Time,1
Female,42,561010,Postgraduate,,Salaried,19.0,557.0,722875,355062,3,Paid on Time,1
Male,57,247660,Graduate,Married,Salaried,11.0,644.0,272295,212914,1,Paid on Time,1
Female,30,1087687,Graduate,Married,Salaried,1.0,748.0,1357705,3000000,2,Paid on Time,1
Male,21,489099,Undergraduate,Single,Salaried,0.0,684.0,154545,365406,3,Paid on Time,1
Female,63,274714,Undergraduate,Married,Salaried,17.0,699.0,279978,270972,3,Paid on Time,1
Male,31,1366640,Graduate,Single,Self-Employed,3.0,723.0,1481497,1453460,1,Paid on Time,1
Male,30,751736,Graduate,Single,Self-Employed,1.0,616.0,623133,325782,1,Paid on Time,1
Female,44,455215,Graduate,Divorced,Salaried,5.0,553.0,570313,391351,1,Delayed,0
Male,23,595130,Graduate,Single,Salaried,0.0,570.0,882167,570410,2,Paid on Time,1
Male,34,495774,Graduate,Married,Salaried,4.0,641.0,7836,504741,1,Paid on Time,1
Female,53,35526,High School,Single,Student,0.0,575.0,24246,41781,0,Delayed,0
Female,57,340303,Undergraduate,Divorced,Salaried,4.0,621.0,384830,473569,2,Delayed,0
Female,66,754895,Undergraduate,Divorced,Salaried,12.0,647.0,821690,329286,4,Delayed,0
Female,52,318398,Graduate,Married,Salaried,15.0,801.0,223442,801060,0,Paid on Time,1
Male,34,627821,Graduate,Single,Salaried,7.0,540.0,793084,452268,5,Delayed,0
Male,58,668885,Graduate,Married,Salaried,14.0,574.0,677291,150445,0,Delayed,0
Male,19,587908,Undergraduate,Married,Salaried,0.0,645.0,483576,432101,0,Paid on Time,1
Male,30,1095232,Undergraduate,Single,Salaried,1.0,546.0,448311,1321910,1,Paid on Time,1
Female,69,821061,Graduate,Divorced,Salaried,22.0,345.0,60322,173054,1,Paid on Time,1
Female,19,309154,Postgraduate,Single,Salaried,0.0,588.0,458655,293296,1,Delayed,0
Male,69,670934,Undergraduate,Single,Self-Employed,25.0,623.0,911921,452276,1,Paid on Time,1
Male,45,452232,Graduate,Married,Salaried,10.0,668.0,471890,459328,0,Paid on Time,1
Female,60,267545,Graduate,Married,Salaried,8.0,553.0,344694,334409,3,Delayed,0
Male,43,411742,Undergraduate,Single,Salaried,5.0,817.0,83982,910945,0,Paid on Time,1
Female,39,28478,Postgraduate,Married,Student,0.0,727.0,11430,36606,1,Paid on Time,1
Male,64,344735,Graduate,Divorced,Self-Employed,8.0,539.0,457716,77982,2,Delayed,0
Female,60,781054,Graduate,Married,Self-Employed,26.0,588.0,551653,393792,2,Delayed,0
Male,20,174588,Undergraduate,Married,Salaried,0.0,581.0,154756,106588,0,Paid on Time,1
Female,52,196545,Graduate,Single,Salaried,9.0,542.0,260520,196109,0,Paid on Time,1
Female,29,503684,Undergraduate,Married,Salaried,2.0,764.0,305239,813234,3,Paid on Time,1
Female,41,629010,Undergraduate,Divorced,Salaried,11.0,543.0,454595,417525,1,Delayed,0
Female,22,379357,Graduate,Married,Salaried,1.0,660.0,63832,192215,2,Paid on Time,1
Female,37,47358,Graduate,,Student,0.0,598.0,70427,28795,1,Paid on Time,0
Female,56,47033,Undergraduate,Single,Student,0.0,630.0,68671,22220,1,Delayed,0
Male,56,315996,Graduate,Married,Salaried,11.0,752.0,140557,936328,2,Paid on Time,1
Female,30,575001,Graduate,Single,Salaried,0.0,681.0,735262,848785,0,Paid on Time,1
Female,58,978977,Postgraduate,Married,Salaried,25.0,686.0,1082358,1104780,3,Paid on Time,1
Male,70,385755,Graduate,Married,Salaried,7.0,681.0,84820,78339,0,Paid on Time,1
Female,62,52031,Undergraduate,Divorced,Student,0.0,698.0,1864,51291,1,Paid on Time,1
Female,29,514786,Graduate,Single,Salaried,8.0,545.0,10867,558054,1,Paid on Time,1
Female,30,15000,Undergraduate,Married,Unemployed,0.0,581.0,1478,17843,3,Paid on Time,0
Male,27,269834,Graduate,Single,Salaried,3.0,687.0,253937,315101,2,Paid on Time,1
Male,50,472338,High School,Divorced,Salaried,4.0,577.0,348705,383417,3,Delayed,0
Female,57,702013,Postgraduate,Married,Salaried,11.0,614.0,1049603,328115,2,Paid on Time,1
Female,33,1011043,Graduate,Married,Self-Employed,3.0,677.0,434552,271796,1,Paid on Time,1
Male,62,447450,Undergraduate,Single,Salaried,26.0,760.0,487071,59355,3,Paid on Time,1
Female,52,514999,Graduate,Married,Salaried,9.0,735.0,299035,54547,1,Paid on Time,1
Female,20,476075,Undergraduate,Married,Salaried,0.0,,70211,1785855,5,Paid on Time,1
Male,22,579624,Postgraduate,Divorced,Salaried,1.0,664.0,762621,551301,5,Paid on Time,1
Female,43,533860,Undergraduate,Married,Salaried,8.0,661.0,320317,482542,1,Paid on Time,1
Male,28,412460,Graduate,Single,Salaried,0.0,583.0,567289,258744,0,Delayed,0
Male,24,1361977,Undergraduate,Single,Self-Employed,1.0,705.0,1914110,3000000,2,Paid on Time,1
Male,70,877377,Graduate,Single,Self-Employed,5.0,775.0,1079363,841142,2,Paid on Time,1
Female,27,508259,Postgraduate,Single,Salaried,2.0,593.0,21101,576016,1,Delayed,0
Male,59,1088195,Undergraduate,Married,Self-Employed,5.0,694.0,1576837,661530,1,Paid on Time,1
Male,69,256281,Graduate,Married,Salaried,25.0,761.0,47731,733029,0,Paid on Time,1
Male,51,389632,Graduate,Married,Self-Employed,8.0,566.0,544301,424291,5,Delayed,0
Male,20,321546,Postgraduate,Single,Salaried,0.0,704.0,292547,427557,0,Paid on Time,1
Female,25,241781,Postgraduate,Married,Salaried,2.0,710.0,136894,905131,0,Paid on Time,1
Male,48,226810,Graduate,Married,Salaried,5.0,427.0,32720,183880,1,Paid on Time,1
Male,28,253148,Graduate,Divorced,Self-Employed,5.0,596.0,192466,116658,2,Paid on Time,1
Female,62,494904,Undergraduate,Divorced,Salaried,41.0,538.0,589787,516338,1,Paid on Time,1
Male,24,661776,Graduate,Married,Salaried,2.0,598.0,510005,761843,0,Delayed,0
Male,62,188261,Graduate,Married,Salaried,18.0,608.0,104176,269393,2,Paid on Time,1
Male,19,364450,Graduate,Single,Salaried,0.0,646.0,197263,73831,1,Delayed,1
Male,23,459741,Graduate,Single,Self-Employed,1.0,740.0,244197,1014085,2,Delayed,0
Male,58,646289,Undergraduate,Married,Salaried,9.0,771.0,458443,1300632,0,Paid on Time,1
Male,49,34434,High School,Married,Student,0.0,667.0,5688,18399,2,Paid on Time,1
Male,37,591378,Undergraduate,Single,Salaried,8.0,779.0,586977,1830001,2,Paid on Time,1
Female,51,429870,Graduate,Divorced,Salaried,19.0,733.0,220119,368673,1,Paid on Time,1
Male,67,2504375,Undergraduate,Single,Self-Employed,20.0,641.0,2000000,1399595,0,Paid on Time,1
Female,33,574198,Undergraduate,Married,Self-Employed,3.0,796.0,453488,1773119,1,Paid on Time,1
Female,42,250802,Graduate,Married,Salaried,4.0,656.0,322454,192660,3,Paid on Time,1
Male,29,643262,High School,Single,Salaried,3.0,674.0,831439,186889,2,Paid on Time,1
Female,24,1424053,Undergraduate,Married,Self-Employed,2.0,553.0,2000000,1925276,3,Paid on Time,1
Male,56,365088,High School,Married,Salaried,8.0,685.0,132294,410041,0,Paid on Time,1
Female,34,600016,Undergraduate,Married,Self-Employed,12.0,692.0,31012,532717,0,Paid on Time,1
Male,62,519894,Undergraduate,Single,Salaried,23.0,736.0,331358,1287449,2,Paid on Time,1
Male,28,37669,Graduate,Single,Student,0.0,627.0,50663,36779,0,Paid on Time,0
Male,23,689138,Undergraduate,Single,Salaried,1.0,577.0,620484,550629,2,Delayed,0
Female,40,363598,Graduate,Single,Salaried,2.0,690.0,203719,415460,0,Paid on Time,1
Male,44,447727,Postgraduate,Divorced,Salaried,,723.0,518550,1293826,0,Paid on Time,1
Female,63,22911,Postgraduate,Single,Unemployed,0.0,616.0,24480,10000,3,Paid on Time,0
Male,23,57007,Postgraduate,Married,Self-Employed,0.0,565.0,61017,14523,4,Delayed,0
Female,55,356098,Postgraduate,Married,Salaried,11.0,608.0,274863,48228,1,Paid on Time,1
Male,19,395646,Postgraduate,Single,Salaried,0.0,808.0,314823,300188,0,Paid on Time,1
Female,39,184067,Graduate,Married,Salaried,3.0,552.0,153462,37033,1,Delayed,0
Male,37,417979,Undergraduate,Divorced,Salaried,4.0,549.0,346478,155199,1,Paid on Time,1
Male,42,865257,Undergraduate,Married,Salaried,10.0,836.0,267774,1903735,0,Paid on Time,1
Male,32,333900,Undergraduate,Married,Salaried,1.0,634.0,123101,346446,2,Paid on Time,1
Male,66,634903,Postgraduate,Single,Salaried,17.0,527.0,356204,879986,0,Paid on Time,1
Female,46,603461,Graduate,Single,Salaried,5.0,508.0,774362,684936,2,Delayed,0
Male,25,745744,Graduate,Single,Self-Employed,2.0,707.0,517239,166181,0,Paid on Time,1
Female,54,446429,High School,Single,Salaried,15.0,683.0,620303,337586,1,Delayed,0
Male,66,360406,Undergraduate,Married,Salaried,33.0,708.0,428910,985704,2,Paid on Time,1
Male,69,197564,Graduate,Married,Salaried,22.0,563.0,255303,106917,0,Paid on Time,1
Male,50,461140,Postgraduate,Divorced,Self-Employed,24.0,531.0,92791,284271,0,Delayed,1
Male,39,482681,High School,Married,Self-Employed,2.0,703.0,107724,1559507,4,Delayed,0
Female,67,683924,Graduate,Married,Self-Employed,19.0,545.0,242751,113428,3,Delayed,0
Male,64,353895,Postgraduate,Married,Salaried,16.0,633.0,351747,302768,0,Paid on Time,1
Male,22,405260,High School,Married,Salaried,0.0,561.0,289530,496966,2,Delayed,0
Female,56,15141,High School,Single,Student,0.0,814.0,3856,48601,1,Paid on Time,1
Female,35,930317,High School,Single,Salaried,4.0,742.0,1040721,530509,1,Paid on Time,1
Male,55,372104,Undergraduate,Single,Salaried,9.0,850.0,288832,1263283,1,Paid on Time,1
Male,70,537840,Graduate,Single,Self-Employed,5.0,713.0,589738,215875,1,Delayed,1
Female,54,973602,Graduate,Married,Salaried,10.0,681.0,1328196,1356900,2,Delayed,0
Male,47,339837,Graduate,Married,Salaried,11.0,717.0,466297,320658,1,Paid on Time,1
Male,68,138002,Undergraduate,Married,Salaried,27.0,492.0,8310,36064,1,Delayed,1
Male,48,402100,Graduate,Married,Salaried,2.0,471.0,12749,81842,1,Paid on Time,1
Female,27,552710,Graduate,Married,Salaried,1.0,721.0,359670,795509,4,Paid on Time,1
Female,32,324927,Graduate,Married,Salaried,2.0,591.0,40882,191058,3,Paid on Time,1
Male,59,58252,Graduate,Single,Student,0.0,649.0,3841,48734,0,Paid on Time,1
Male,65,548544,Postgraduate,Single,Salaried,2.0,487.0,107307,617729,3,Delayed,0
Male,61,171583,Graduate,Divorced,Salaried,13.0,598.0,250122,139608,2,Paid on Time,1
Female,35,156097,Undergraduate,Single,Salaried,0.0,613.0,82367,229544,2,Paid on Time,1
Male,40,414275,Undergraduate,Married,Self-Employed,5.0,742.0,509884,381239,0,Paid on Time,1
Male,50,791671,Graduate,Married,Salaried,16.0,663.0,265319,312535,0,Paid on Time,1
Female,33,685418,High School,Married,Self-Employed,1.0,511.0,429029,744987,0,Delayed,0
Male,55,755805,Undergraduate,Married,Self-Employed,13.0,597.0,823581,408019,0,Delayed,0
Female,52,593544,Graduate,Married,Self-Employed,14.0,760.0,490157,456583,0,Paid on Time,1
Male,51,1105740,Graduate,Married,Salaried,18.0,604.0,1361914,1337308,1,Delayed,0
Male,45,1075628,Graduate,Single,Self-Employed,3.0,740.0,1581236,1056548,2,Paid on Time,1
Male,19,473657,Graduate,Single,Salaried,0.0,595.0,6406,543987,5,Delayed,0
Female,47,392680,Graduate,Single,Salaried,11.0,683.0,544561,152896,2,Paid on Time,1
Female,30,531170,Undergraduate,Married,Salaried,7.0,655.0,329416,751702,2,Paid on Time,1
Female,58,17584,High School,Single,Student,0.0,639.0,10760,10000,0,Paid on Time,1
Male,33,336576,Undergraduate,Single,Salaried,0.0,518.0,332,386932,2,Delayed,0
Female,22,589232,Graduate,Single,Self-Employed,0.0,488.0,98325,753047,1,Paid on Time,1
Male,45,476524,Graduate,Married,Salaried,4.0,674.0,542514,129468,2,Paid on Time,1
Male,70,873421,Undergraduate,Single,Salaried,1.0,653.0,1171271,170530,4,Paid on Time,1
Female,56,1076315,Graduate,Single,Self-Employed,12.0,596.0,270199,1009250,1,Delayed,1
Male,62,481144,Graduate,Married,Salaried,4.0,562.0,155250,465811,2,Paid on Time,1
Male,37,609355,Postgraduate,Married,Self-Employed,,783.0,277436,1540902,2,Paid on Time,1
Male,41,480593,Graduate,Married,Self-Employed,6.0,749.0,382220,903068,2,Paid on Time,1
Male,44,744943,Postgraduate,Single,Salaried,5.0,724.0,385637,2790081,0,Paid on Time,1
Male,47,361543,Graduate,Single,Salaried,4.0,811.0,162546,1012029,1,Paid on Time,1
Female,62,269600,High School,Married,Salaried,14.0,540.0,73881,54972,2,Delayed,0
Male,44,740968,Undergraduate,Married,Salaried,7.0,677.0,176944,888428,3,Paid on Time,1
Female,43,223738,Postgraduate,Divorced,Salaried,4.0,511.0,158721,108667,1,Paid on Time,1
Female,24,419500,Graduate,Married,Salaried,0.0,609.0,280582,466587,3,Paid on Time,1
Male,59,56466,High School,Married,Student,0.0,618.0,66499,10327,2,Paid on Time,0
Male,64,576195,Postgraduate,Married,Salaried,8.0,582.0,712028,676089,2,Paid on Time,1
Male,70,1121214,Undergraduate,Single,Self-Employed,25.0,646.0,1178307,964101,2,Paid on Time,1
Female,55,365663,Undergraduate,Single,Salaried,14.0,850.0,455910,1064419,0,Paid on Time,1
Male,22,636436,Postgraduate,Married,Salaried,0.0,676.0,103915,504029,3,Paid on Time,1
Female,40,354926,Graduate,Divorced,Salaried,17.0,748.0,243706,1144403,0,Paid on Time,1
Male,45,461842,Undergraduate,Single,Self-Employed,11.0,660.0,198444,658511,3,Paid on Time,1
Female,51,190079,Postgraduate,Married,Salaried,2.0,482.0,9572,216591,1,Delayed,0
Male,70,234330,Graduate,Single,Self-Employed,1.0,586.0,250508,267565,3,Delayed,0
Male,32,250277,Graduate,Married,Salaried,3.0,596.0,312056,100955,4,Paid on Time,1
Female,49,547608,Undergraduate,Single,Salaried,6.0,645.0,94246,326513,0,Delayed,1
Female,43,406891,Postgraduate,Married,Salaried,6.0,710.0,75742,239115,1,Paid on Time,1
Male,65,165323,Graduate,Single,Salaried,24.0,736.0,158562,359821,2,Paid on Time,1
Female,48,511633,Graduate,Married,Salaried,10.0,684.0,110742,371026,3,Paid on Time,1
Male,36,355725,Graduate,Single,Self-Employed,1.0,756.0,410000,444418,0,Paid on Time,1
Female,26,38030,Postgraduate,Married,Student,0.0,584.0,47272,10000,1,Delayed,0
Female,46,336125,Graduate,Single,Self-Employed,3.0,706.0,263611,1254564,2,Paid on Time,1
Male,68,2514275,Undergraduate,Married,Self-Employed,32.0,700.0,2000000,2382467,0,Paid on Time,1
Male,56,34319,Graduate,Divorced,Student,,740.0,1047,46930,1,Paid on Time,1
Male,21,29667,Postgraduate,Single,Student,0.0,576.0,10075,17408,0,Delayed,0
Male,20,448853,High School,Married,Salaried,0.0,834.0,520404,737067,1,Paid on Time,1
Female,46,784882,Graduate,Divorced,Salaried,8.0,571.0,1127051,970336,1,Delayed,0
Male,69,486713,Graduate,Married,Salaried,4.0,603.0,701289,192063,3,Paid on Time,1
Male,28,421021,Postgraduate,Single,Salaried,7.0,724.0,251,1448408,0,Paid on Time,1
Female,50,35379,Graduate,Single,Student,0.0,493.0,4470,18961,1,Delayed,0
Female,55,166586,Graduate,Married,Salaried,15.0,556.0,6828,219807,2,Paid on Time,1
Male,28,664231,Postgraduate,Divorced,Self-Employed,0.0,658.0,697767,899529,1,Delayed,0
Male,44,554666,High School,Married,Self-Employed,6.0,467.0,85201,596449,0,Delayed,0
Male,50,419022,Undergraduate,Married,Salaried,,570.0,539069,566778,3,Delayed,0
Male,38,734741,Graduate,Single,Salaried,12.0,658.0,583505,841972,0,Paid on Time,1
Female,56,291514,Graduate,Single,Salaried,6.0,567.0,371729,88140,0,Delayed,0
Male,48,409848,Graduate,Married,Salaried,10.0,828.0,567953,1569328,0,Paid on Time,1
Female,55,313775,Postgraduate,Married,Salaried,19.0,722.0,250970,264015,2,Paid on Time,1
Male,63,452626,Postgraduate,Single,Salaried,33.0,695.0,355842,358697,1,Delayed,1
Female,19,435888,High School,Married,Salaried,0.0,664.0,330745,277599,0,Paid on Time,1
Female,44,714263,Graduate,Divorced,Salaried,9.0,726.0,540664,1041230,3,Paid on Time,1
Female,53,433291,Undergraduate,Single,Salaried,8.0,655.0,503398,518677,3,Paid on Time,1
Male,28,337260,Graduate,Married,Salaried,5.0,550.0,34061,171106,2,Delayed,0
Male,64,40639,Graduate,Married,Student,0.0,684.0,27583,34654,2,Paid on Time,1
Male,35,379714,Postgraduate,Single,Salaried,5.0,578.0,298447,216916,2,Paid on Time,1
Female,18,32910,Graduate,Married,Student,0.0,692.0,10586,44457,2,Paid on Time,1
Female,52,412934,Undergraduate,Single,Self-Employed,4.0,679.0,335266,130968,0,Delayed,1
Female,52,268576,Undergraduate,Divorced,Self-Employed,6.0,586.0,183568,92843,1,Delayed,0
Female,48,589530,High School,Single,Salaried,3.0,850.0,652240,314677,2,Paid on Time,1
Female,45,394060,Postgraduate,Married,Salaried,5.0,777.0,208828,1204016,0,Paid on Time,1
Male,56,431529,Postgraduate,Married,Salaried,10.0,644.0,614781,140717,1,Delayed,0
Female,18,579147,Undergraduate,Single,Salaried,0.0,700.0,359416,490159,0,Paid on Time,1
Male,42,18500,Graduate,Single,Student,0.0,683.0,17507,21709,0,Paid on Time,1
Male,60,1238821,Undergraduate,Single,Salaried,6.0,595.0,411932,324239,0,Delayed,1
Male,55,22373,Undergraduate,Married,Unemployed,0.0,707.0,23110,83425,0,Paid on Time,0
Male,37,2710514,Undergraduate,Divorced,Self-Employed,1.0,630.0,2000000,1348874,3,Delayed,0
Male,20,579283,Undergraduate,Married,Salaried,0.0,509.0,297377,700485,2,Paid on Time,1
Female,68,349151,Graduate,Single,Self-Employed,4.0,598.0,182209,422816,5,Delayed,0
Male,19,293313,Graduate,Single,Salaried,0.0,599.0,165188,172374,1,Delayed,0
Female,35,574986,Graduate,Single,Salaried,3.0,456.0,50305,500705,0,Paid on Time,1
Male,61,484734,Undergraduate,Married,Salaried,0.0,783.0,180065,1241047,2,Paid on Time,1
Male,27,27793,Undergraduate,Single,Student,0.0,597.0,11564,18948,2,Paid on Time,1
